InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone,Generation,QuotaGroup,PremiumStorageCapable
A100_PCIE,A100,2,32,64,"{'Gpus': [{'Name': 'A100', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 81920}",1.33,,KR,,,,
A100_SXM4,A100,1,32,64,"{'Gpus': [{'Name': 'A100', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 81920}",0.93,,CZ,,,,
A100_SXM4,A100,1,32,64,"{'Gpus': [{'Name': 'A100', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 40960}}], 'TotalGpuMemoryInMiB': 40960}",0.93,,US,,,,
A100_SXM4,A100,2,32,64,"{'Gpus': [{'Name': 'A100', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 81920}",1.87,,DE,,,,
A100_SXM4,A100,2,32,64,"{'Gpus': [{'Name': 'A100', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 163840}}], 'TotalGpuMemoryInMiB': 163840}",1.87,,US,,,,
GTX_1070_Ti,GTX1070Ti,1,16,125.90625,"{""Gpus"":[{""Name"":""GTX1070Ti"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":8192}}],""TotalGpuMemoryInMiB"":8192}",0.0775,,CA,,,,
GTX_1070_Ti,GTX1070Ti,1,16,125.90625,"{""Gpus"":[{""Name"":""GTX1070Ti"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":8192}}],""TotalGpuMemoryInMiB"":8192}",,0.0575,CA,,,,
GTX_1660_Ti,GTX1660Ti,1,8,31.3515625,"{""Gpus"":[{""Name"":""GTX1660Ti"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":6144}}],""TotalGpuMemoryInMiB"":6144}",0.1388888888888889,,GB,,,,
GTX_1660_Ti,GTX1660Ti,1,8,31.3515625,"{""Gpus"":[{""Name"":""GTX1660Ti"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":6144}}],""TotalGpuMemoryInMiB"":6144}",,0.12555555555555556,GB,,,,
H100_NVL,H100,1,32,64,"{'Gpus': [{'Name': 'H100', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 95830}}], 'TotalGpuMemoryInMiB': 95830}",1.98,,BG,,,,
H100_SXM,H100,1,32,64,"{'Gpus': [{'Name': 'H100', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 81559}}], 'TotalGpuMemoryInMiB': 81559}",1.8,,US,,,,
H100_SXM,H100,2,32,64,"{'Gpus': [{'Name': 'H100', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 163118}}], 'TotalGpuMemoryInMiB': 163118}",3.74,,KR,,,,
H100_SXM,H100,4,32,64,"{'Gpus': [{'Name': 'H100', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 326236}}], 'TotalGpuMemoryInMiB': 326236}",7.47,,VN,,,,
H100_SXM,H100,8,32,64,"{'Gpus': [{'Name': 'H100', 'Count': 8, 'MemoryInfo': {'SizeInMiB': 652472}}], 'TotalGpuMemoryInMiB': 652472}",14.94,,VN,,,,
H200,H200,1,32,64,"{'Gpus': [{'Name': 'H200', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 143771}}], 'TotalGpuMemoryInMiB': 143771}",2.35,,FR,,,,
H200,H200,2,32,64,"{'Gpus': [{'Name': 'H200', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 287542}}], 'TotalGpuMemoryInMiB': 287542}",5.65,,US,,,,
H200,H200,4,32,64,"{'Gpus': [{'Name': 'H200', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 575084}}], 'TotalGpuMemoryInMiB': 575084}",10.35,,FR,,,,
H200,H200,4,32,64,"{'Gpus': [{'Name': 'H200', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 575084}}], 'TotalGpuMemoryInMiB': 575084}",10.35,,US,,,,
H200,H200,8,32,64,"{'Gpus': [{'Name': 'H200', 'Count': 8, 'MemoryInfo': {'SizeInMiB': 1150168}}], 'TotalGpuMemoryInMiB': 1150168}",20.71,,FR,,,,
H200,H200,8,32,64,"{'Gpus': [{'Name': 'H200', 'Count': 8, 'MemoryInfo': {'SizeInMiB': 1150168}}], 'TotalGpuMemoryInMiB': 1150168}",20.71,,US,,,,
L40S,L40S,1,32,64,"{'Gpus': [{'Name': 'L40S', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 46068}}], 'TotalGpuMemoryInMiB': 46068}",0.6,,JP,,,,
L40S,L40S,2,32,64,"{'Gpus': [{'Name': 'L40S', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 92136}}], 'TotalGpuMemoryInMiB': 92136}",1.2,,JP,,,,
L40S,L40S,4,32,64,"{'Gpus': [{'Name': 'L40S', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 184272}}], 'TotalGpuMemoryInMiB': 184272}",2.4,,JP,,,,
Quadro_P4000,QuadroP4000,1,6,62.73828125,"{""Gpus"":[{""Name"":""QuadroP4000"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":8192}}],""TotalGpuMemoryInMiB"":8192}",0.0775,,CA,,,,
